Regiao,Sigla,Latitude_Media,Populacao_Parda,Populacao_Branca,Populacao_Preta,Populacao_Indigena,Populacao_Amarela,Ideb_2023,IDH_2010
Acre,AC,-8.77,66.25,21.44,8.56,3.51,0.23,5.7,0.663
Alagoas,AL,-9.62,60.36,29.27,9.55,0.64,0.18,5.7,0.631
Amapá,AP,1.41,65.28,21.4,11.81,1.41,0.1,4.8,0.708
Amazonas,AM,-3.07,68.79,18.39,4.91,7.74,0.15,5.6,0.674
Bahia,BA,-12.96,57.31,19.81,22.38,0.59,0.11,4.9,0.66
Ceará,CE,-5.2,64.71,27.93,6.77,0.45,0.13,6.5,0.682
Distrito Federal,DF,-15.78,48.66,39.98,10.71,0.2,0.45,5.9,0.824
Espírito Santo,ES,-19.19,49.79,38.58,11.21,0.3,0.11,6.1,0.74
Goiás,GO,-15.93,54.18,36.24,9.19,0.15,0.24,6.1,0.735
Maranhão,MA,-4.96,66.39,20.1,12.61,0.81,0.1,5.1,0.639
Mato Grosso,MT,-12.64,56,32.3,9.86,1.55,0.3,5.8,0.725
Mato Grosso do Sul,MS,-20.51,46.93,42.38,6.5,3.48,0.71,5.3,0.729
Minas Gerais,MG,-18.1,46.76,41.08,11.84,0.16,0.15,6.1,0.731
Pará,PA,-3.79,69.87,19.34,9.77,0.85,0.15,4.8,0.646
Paraíba,PB,-7.28,55.55,35.72,7.96,0.64,0.12,5.3,0.658
Paraná,PR,-24.89,30.06,64.57,4.24,0.24,0.88,6.5,0.749
Pernambuco,PB,-8.28,55.27,33.6,10.04,0.92,0.15,5.3,0.673
Piauí,PI,-6.6,64.83,22.63,12.25,0.19,0.09,5.7,0.646
Rio de Janeiro,RJ,-22.91,41.62,41.98,16.16,0.1,0.14,5.5,0.761
Rio Grande do Norte,RN,-5.81,50.9,39.49,9.17,0.28,0.16,4.8,0.684
Rio Grande do Sul,RS,-30.01,14.67,78.42,6.52,0.31,0.07,5.8,0.746
Rondônia,RO,-10.83,59.24,30.74,8.65,1.09,0.27,5.5,0.69
Roraima,RR,2.82,57.25,20.62,7.73,14.12,0.12,5.4,0.707
Santa Catarina,SC,-27.33,19.22,76.28,4.07,0.25,0.16,6.2,0.774
São Paulo,SP,-23.55,32.96,57.78,7.99,0.11,1.16,6.2,0.783
Sergipe,SE,-10.57,61.61,25.2,12.85,0.21,0.13,4.9,0.665
Tocantins,TO,-10.25,62.14,23.2,13.19,1.24,0.23,5.4,0.699
